Course #	Dep	ID	Course Name	SBC	Credits
AAS 102	AAS	102	Eastern Religions	GLO HUM	3
AAS 110	AAS	110	Appreciating Indian Music	ARTS	3
AAS 201	AAS	201	Introduction to the Civilization of the Indian Subcontinent	GLO	3
AAS 209	AAS	209	Indian Classical Dance: Bharatanatyam	ARTS	3
AAS 211	AAS	211	Asian and Asian American Studies Topics in the Social Sciences	SBS	3
AAS 212	AAS	212	Asian and Asian American Studies Topics in the Humanities	HUM	3
AAS 215	AAS	215	Classical Performing Arts of India	ARTS	3
AAS 216	AAS	216	Introduction to Japanese Studies	ESI GLO	3
AAS 217	AAS	217	Introduction to Korean Culture	GLO HUM	3
AAS 218	AAS	218	Ancient, Medieval, & Early Modern South Asia	GLO HUM	3
AAS 219	AAS	219	Japan in the Age of Courtier and Samurai	GLO SBS	3
AAS 220	AAS	220	China: Language and Culture	GLO SBS	3
AAS 221	AAS	221	China: Science and Civilization	STAS	3
AAS 222	AAS	222	Indian Cinemas and Cultures	ARTS GLO	3
AAS 232	AAS	232	Introduction to Asian American Fiction and Film	HUM USA	3
AAS 236	AAS	236	Korean Religions	GLO HUM	3
AAS 237	AAS	237	Introduction to Japanese Literature	HUM	3
AAS 240	AAS	240	Confucianism and Daoism	GLO HUM	3
AAS 247	AAS	247	Modern Korea through Visual Culture	GLO SBS	3
AAS 250	AAS	250	Languages and Cultures of Asian Americans	SBS USA	3
AAS 256	AAS	256	Hinduism	GLO HUM	3
AAS 260	AAS	260	Buddhism	GLO HUM	3
AAS 280	AAS	280	Islam	GLO HUM	3
AAS 287	AAS	287	Islam in China	GLO HUM	3
AAS 300	AAS	300	Intellectual History of East Asia	HFA+	3
AAS 305	AAS	305	The Pacific, Travel & Empire	HFA+	3
AAS 307	AAS	307	Women in U.S.-Asian Relations	SBS+ SPK	3
AAS 310	AAS	310	America's Wars in Asia	SBS+ WRTD	3
AAS 320	AAS	320	Literature of India	HFA+	3
AAS 321	AAS	321	Korean Literature	HFA+	3
AAS 322	AAS	322	Literature of Japan	HFA+	3
